datetime,temperature,altitude,humidity,pressure
23:08:30 01/07/2023,25.221,62.578,100.0,1005.758
23:38:31 01/07/2023,25.217,62.581,100.0,1005.756
00:00:25 01/08/2023,26.903,92.155,100.0,1002.231
00:02:30 01/08/2023,26.906,92.202,100.0,1002.223
00:04:33 01/08/2023,26.906,92.267,100.0,1002.216
00:06:38 01/08/2023,26.908,92.22,100.0,1002.222
00:08:43 01/08/2023,26.911,92.32,100.0,1002.21
00:10:47 01/08/2023,26.91111111111111,92.25444444444445,100.0,1002.2188888888892
00:12:55 01/08/2023,26.775,92.765,100.0,1002.157
00:14:58 01/08/2023,26.773000000000003,92.821,100.0,1002.15
00:17:01 01/08/2023,26.778,92.812,100.0,1002.153
00:19:04 01/08/2023,26.779,92.903,100.0,1002.141
00:21:09 01/08/2023,26.779,92.93,100.0,1002.138
00:23:13 01/08/2023,26.781,92.9,100.0,1002.1419999999998
00:25:16 01/08/2023,26.783,92.85,100.0,1002.148
00:27:21 01/08/2023,26.779999999999998,93.061,100.0,1002.122
00:29:24 01/08/2023,26.782,93.181,100.0,1002.109
00:31:30 01/08/2023,26.784,93.161,100.0,1002.111
00:33:32 01/08/2023,26.789,93.238,100.0,1002.101
00:35:36 01/08/2023,26.792,93.146,100.0,1002.113
00:37:40 01/08/2023,26.725,94.231,100.0,1001.979
00:39:45 01/08/2023,26.719,94.281,100.0,1001.9779999999998
00:41:47 01/08/2023,26.716,94.154,100.0,1001.991
00:43:51 01/08/2023,26.714,94.256,100.0,1001.982
00:45:55 01/08/2023,26.712,94.164,100.0,1001.992
00:48:00 01/08/2023,26.712,94.154,100.0,1001.992
00:50:06 01/08/2023,26.709,94.229,100.0,1001.984
00:52:10 01/08/2023,26.707,94.197,100.0,1001.988
00:54:15 01/08/2023,26.704999999999995,94.23999999999998,100.0,1001.98
00:56:18 01/08/2023,26.701,94.238,100.0,1001.982
00:58:20 01/08/2023,26.701,94.249,100.0,1001.982
01:00:25 01/08/2023,26.701,94.28400000000002,100.0,1001.977
01:02:31 01/08/2023,26.487,94.967,100.0,1001.895
01:04:34 01/08/2023,26.482,95.21,100.0,1001.8660000000002
01:06:38 01/08/2023,26.483,95.183,100.0,1001.871
01:08:41 01/08/2023,26.479000000000003,95.3,100.0,1001.858
01:10:45 01/08/2023,26.474,95.315,100.0,1001.854
01:12:47 01/08/2023,26.469,95.349,100.0,1001.85
01:14:51 01/08/2023,26.462,95.414,100.0,1001.843
01:16:56 01/08/2023,26.464,95.421,100.0,1001.842
01:19:00 01/08/2023,26.46,95.572,100.0,1001.822
01:21:06 01/08/2023,26.454999999999995,95.558,100.0,1001.825
01:23:09 01/08/2023,26.45,95.565,100.0,1001.825
01:25:11 01/08/2023,26.448888888888888,95.63222222222224,100.0,1001.8166666666668
01:27:15 01/08/2023,26.26,96.274,100.0,1001.74
01:29:19 01/08/2023,26.253,96.389,100.0,1001.7260000000002
01:31:24 01/08/2023,26.25,96.273,100.0,1001.74
01:33:27 01/08/2023,26.242,96.229,100.0,1001.747
01:35:30 01/08/2023,26.236,96.217,100.0,1001.745
01:37:34 01/08/2023,26.233000000000004,96.221,100.0,1001.747
01:39:37 01/08/2023,26.225,96.179,100.0,1001.752
01:41:43 01/08/2023,26.213,96.163,100.0,1001.7519999999998
01:43:47 01/08/2023,26.204999999999995,96.137,100.0,1001.754
01:45:50 01/08/2023,26.195,96.162,100.0,1001.751
01:47:53 01/08/2023,26.189,96.109,100.0,1001.759
01:49:57 01/08/2023,26.174444444444443,96.1611111111111,100.0,1001.7544444444444
01:52:02 01/08/2023,25.724,97.10800000000002,100.0,1001.641
01:54:09 01/08/2023,25.72,97.035,100.0,1001.65
01:56:10 01/08/2023,25.714,97.093,100.0,1001.642
01:58:14 01/08/2023,25.712,97.114,100.0,1001.639
02:00:19 01/08/2023,25.709000000000003,97.138,100.0,1001.636
02:02:21 01/08/2023,25.702,97.108,100.0,1001.6419999999998
02:04:24 01/08/2023,25.7,97.171,100.0,1001.633
02:06:30 01/08/2023,25.698,97.171,100.0,1001.633
02:08:31 01/08/2023,25.691000000000003,97.205,100.0,1001.629
02:10:37 01/08/2023,25.685,97.228,100.0,1001.627
02:12:43 01/08/2023,25.684000000000005,97.238,100.0,1001.626
02:14:46 01/08/2023,25.674,97.18,100.0,1001.6319999999998
02:16:49 01/08/2023,25.486666666666665,97.8877777777778,100.0,1001.548888888889
02:18:53 01/08/2023,25.487,97.831,100.0,1001.556
02:20:58 01/08/2023,25.486,97.928,100.0,1001.546
02:23:00 01/08/2023,25.488,97.878,100.0,1001.55
02:25:04 01/08/2023,25.486,97.843,100.0,1001.553
02:27:09 01/08/2023,25.485,97.877,100.0,1001.55
02:29:13 01/08/2023,25.483,97.856,100.0,1001.553
02:31:18 01/08/2023,25.48,97.786,100.0,1001.561
02:33:22 01/08/2023,25.478,97.787,100.0,1001.556
02:35:27 01/08/2023,25.483,97.805,100.0,1001.557
02:37:31 01/08/2023,25.479,97.853,100.0,1001.552
02:39:33 01/08/2023,25.476,97.713,100.0,1001.569
02:41:38 01/08/2023,25.72111111111111,98.26333333333334,100.0,1001.5044444444444
02:43:43 01/08/2023,25.730999999999995,98.136,100.0,1001.5179999999998
02:45:48 01/08/2023,25.733,98.226,100.0,1001.5079999999998
02:47:51 01/08/2023,25.734,98.169,100.0,1001.513
02:49:55 01/08/2023,25.735,98.148,100.0,1001.521
02:51:59 01/08/2023,25.741000000000003,98.286,100.0,1001.5
02:54:03 01/08/2023,25.745,98.344,100.0,1001.494
02:56:07 01/08/2023,25.743,98.257,100.0,1001.504
02:58:11 01/08/2023,25.745,98.226,100.0,1001.508
03:00:15 01/08/2023,25.743,98.309,100.0,1001.497
03:02:20 01/08/2023,25.746,98.376,100.0,1001.489
03:04:24 01/08/2023,25.75,98.24333333333334,100.0,1001.5055555555556
03:06:28 01/08/2023,25.748,99.141,100.0,1001.398
03:08:31 01/08/2023,25.751,99.232,100.0,1001.388
03:10:38 01/08/2023,25.754,99.209,100.0,1001.392
03:12:40 01/08/2023,25.757,99.245,100.0,1001.383
03:14:45 01/08/2023,25.761000000000003,99.159,100.0,1001.396
03:16:49 01/08/2023,25.759,99.151,100.0,1001.397
03:18:54 01/08/2023,25.762,99.152,100.0,1001.398
03:20:59 01/08/2023,25.757000000000005,99.193,100.0,1001.394
03:23:06 01/08/2023,25.759000000000004,99.089,100.0,1001.405
03:25:09 01/08/2023,25.757,99.094,100.0,1001.4060000000002
03:27:13 01/08/2023,25.754,99.175,100.0,1001.393
03:29:18 01/08/2023,25.754,99.112,100.0,1001.403
03:31:23 01/08/2023,25.682,98.838,100.0,1001.436
03:33:26 01/08/2023,25.682,98.804,100.0,1001.438
03:35:30 01/08/2023,25.682,98.763,100.0,1001.443
03:37:35 01/08/2023,25.68,98.795,100.0,1001.4400000000002
03:39:37 01/08/2023,25.68,98.805,100.0,1001.439
03:41:41 01/08/2023,25.681,98.737,100.0,1001.448
03:43:45 01/08/2023,25.682,98.767,100.0,1001.445
03:45:49 01/08/2023,25.687,98.574,100.0,1001.466
03:47:55 01/08/2023,25.689000000000004,98.633,100.0,1001.459
03:49:59 01/08/2023,25.687,98.729,100.0,1001.448
03:52:04 01/08/2023,25.685,98.785,100.0,1001.442
03:54:07 01/08/2023,25.68777777777778,98.70555555555556,100.0,1001.45
03:56:12 01/08/2023,25.424,98.682,100.0,1001.455
03:58:14 01/08/2023,25.417,98.756,100.0,1001.444
04:00:18 01/08/2023,25.406,98.715,100.0,1001.443
04:02:20 01/08/2023,25.4,98.719,100.0,1001.448
04:04:27 01/08/2023,25.392,98.684,100.0,1001.453
04:06:29 01/08/2023,25.386,98.796,100.0,1001.4400000000002
04:08:33 01/08/2023,25.382,98.697,100.0,1001.45
04:10:37 01/08/2023,25.378,98.782,100.0,1001.441
04:12:43 01/08/2023,25.373,98.75699999999998,100.0,1001.445
04:14:47 01/08/2023,25.364000000000004,98.71399999999998,100.0,1001.45
04:16:51 01/08/2023,25.363000000000007,98.721,100.0,1001.4500000000002
04:18:57 01/08/2023,25.357,98.885,100.0,1001.429
04:20:58 01/08/2023,25.449,98.493,100.0,1001.477
04:23:04 01/08/2023,25.451,98.349,100.0,1001.494
04:25:09 01/08/2023,25.454,98.502,100.0,1001.473
04:27:14 01/08/2023,25.453,98.503,100.0,1001.4779999999998
04:29:19 01/08/2023,25.453,98.479,100.0,1001.4779999999998
04:31:23 01/08/2023,25.457,98.63,100.0,1001.46
04:33:32 01/08/2023,25.455,98.48,100.0,1001.4779999999998
04:35:34 01/08/2023,25.457,98.387,100.0,1001.488
04:37:38 01/08/2023,25.451,98.458,100.0,1001.481
04:39:40 01/08/2023,25.451,98.399,100.0,1001.488
04:41:43 01/08/2023,25.456,98.498,100.0,1001.474
04:43:48 01/08/2023,25.454999999999995,98.495,100.0,1001.476
04:45:52 01/08/2023,25.224,98.322,100.0,1001.498
04:47:58 01/08/2023,25.224,98.292,100.0,1001.5
04:50:03 01/08/2023,25.224,98.186,100.0,1001.512
04:52:07 01/08/2023,25.222,98.12,100.0,1001.519
04:54:11 01/08/2023,25.226000000000003,98.024,100.0,1001.535
04:56:16 01/08/2023,25.222999999999995,97.981,100.0,1001.536
04:58:21 01/08/2023,25.228,97.939,100.0,1001.543
05:00:24 01/08/2023,25.227,97.948,100.0,1001.541
05:02:30 01/08/2023,25.227,97.942,100.0,1001.542
05:04:32 01/08/2023,25.223,97.977,100.0,1001.535
05:06:36 01/08/2023,25.222,97.892,100.0,1001.548
05:08:38 01/08/2023,25.222,97.839,100.0,1001.553
05:10:41 01/08/2023,25.00333333333333,97.19,100.0,1001.6311111111112
05:12:44 01/08/2023,25.003000000000004,97.18800000000002,100.0,1001.631
05:14:48 01/08/2023,25.005000000000003,97.142,100.0,1001.637
05:16:51 01/08/2023,25.007,96.98,100.0,1001.657
05:18:54 01/08/2023,25.005000000000003,97.098,100.0,1001.645
05:20:59 01/08/2023,25.01,97.154,100.0,1001.637
05:23:03 01/08/2023,25.013000000000005,97.165,100.0,1001.635
05:25:08 01/08/2023,25.014,97.088,100.0,1001.645
05:27:13 01/08/2023,25.018,97.046,100.0,1001.648
05:29:18 01/08/2023,25.020000000000003,97.195,100.0,1001.628
05:31:20 01/08/2023,25.021,97.098,100.0,1001.641
05:33:24 01/08/2023,25.029000000000003,97.084,100.0,1001.645
05:35:29 01/08/2023,24.913333333333338,95.53222222222222,100.0,1001.828888888889
05:37:33 01/08/2023,24.908,95.491,100.0,1001.833
05:39:37 01/08/2023,24.902,95.56199999999998,100.0,1001.8250000000002
05:41:43 01/08/2023,24.9,95.756,100.0,1001.802
05:43:47 01/08/2023,24.902,95.651,100.0,1001.815
05:45:51 01/08/2023,24.902,95.614,100.0,1001.818
05:47:55 01/08/2023,24.893,95.716,100.0,1001.806
05:49:59 01/08/2023,24.894,95.635,100.0,1001.816
05:52:02 01/08/2023,24.892999999999997,95.824,100.0,1001.793
05:54:06 01/08/2023,24.89,95.896,100.0,1001.787
05:56:11 01/08/2023,24.886,95.85,100.0,1001.791
05:58:14 01/08/2023,24.889,95.872,100.0,1001.787
06:00:17 01/08/2023,24.564,95.458,100.0,1001.838
06:02:19 01/08/2023,24.564,95.483,100.0,1001.834
06:04:23 01/08/2023,24.565,95.354,100.0,1001.85
06:06:27 01/08/2023,24.564,95.417,100.0,1001.8429999999998
06:08:32 01/08/2023,24.557,95.551,100.0,1001.826
06:10:35 01/08/2023,24.554,95.465,100.0,1001.835
06:12:38 01/08/2023,24.547,95.357,100.0,1001.849
06:14:40 01/08/2023,24.546,95.414,100.0,1001.843
06:16:45 01/08/2023,24.542,95.48,100.0,1001.8340000000002
06:18:48 01/08/2023,24.541,95.203,100.0,1001.867
06:20:51 01/08/2023,24.534,95.206,100.0,1001.866
06:22:56 01/08/2023,24.53,95.25777777777778,100.0,1001.8611111111112
06:24:59 01/08/2023,24.884,93.712,100.0,1002.046
06:27:04 01/08/2023,24.912,93.617,100.0,1002.055
06:29:09 01/08/2023,24.941,93.639,100.0,1002.054
06:31:14 01/08/2023,24.974,93.544,100.0,1002.064
06:33:19 01/08/2023,25.006,93.694,100.0,1002.0479999999998
06:35:24 01/08/2023,25.035,93.665,100.0,1002.0490000000002
06:37:25 01/08/2023,25.061,93.505,100.0,1002.07
06:39:30 01/08/2023,25.093,93.504,100.0,1002.071
06:41:34 01/08/2023,25.135,93.368,100.0,1002.084
06:43:38 01/08/2023,25.18,93.366,100.0,1002.085
06:45:43 01/08/2023,25.218,93.56,100.0,1002.064
06:47:46 01/08/2023,25.262222222222224,93.55555555555556,100.0,1002.0633333333332
06:49:53 01/08/2023,27.693,93.286,100.0,1002.095
06:51:54 01/08/2023,27.688,93.244,100.0,1002.0990000000002
06:53:57 01/08/2023,27.681,93.313,100.0,1002.093
06:56:01 01/08/2023,27.729000000000003,93.192,100.0,1002.106
06:58:03 01/08/2023,27.734,93.18,100.0,1002.112
07:00:07 01/08/2023,27.784,93.25,100.0,1002.099
07:02:13 01/08/2023,27.786,93.384,100.0,1002.085
07:04:15 01/08/2023,27.839,93.402,100.0,1002.082
07:06:19 01/08/2023,27.872000000000003,93.463,100.0,1002.074
07:08:23 01/08/2023,27.913,93.448,100.0,1002.077
07:10:28 01/08/2023,27.968,93.361,100.0,1002.087
07:12:32 01/08/2023,28.046,93.261,100.0,1002.1
07:14:37 01/08/2023,29.36888888888889,93.31333333333332,100.0,1002.0922222222222
07:16:37 01/08/2023,29.347,93.281,100.0,1002.099
07:18:42 01/08/2023,29.329999999999995,93.174,100.0,1002.11
07:20:45 01/08/2023,29.318,93.241,100.0,1002.101
07:22:51 01/08/2023,29.301,93.214,100.0,1002.104
07:24:55 01/08/2023,29.290000000000003,93.152,100.0,1002.113
07:27:01 01/08/2023,29.282,93.097,100.0,1002.119
07:29:09 01/08/2023,29.273999999999997,92.995,100.0,1002.132
07:31:10 01/08/2023,29.272,93.011,100.0,1002.128
07:33:13 01/08/2023,29.27,93.028,100.0,1002.125
07:35:18 01/08/2023,29.25,92.987,100.0,1002.129
07:37:23 01/08/2023,29.221111111111117,92.99666666666668,100.0,1002.1277777777776
07:39:26 01/08/2023,28.116000000000003,88.806,100.0,1002.629
07:41:30 01/08/2023,28.103,88.738,100.0,1002.64
07:43:32 01/08/2023,28.088,88.75,100.0,1002.637
07:45:35 01/08/2023,28.064,88.73499999999999,100.0,1002.638
07:47:39 01/08/2023,28.042,88.799,100.0,1002.63
07:49:44 01/08/2023,28.009000000000004,88.775,100.0,1002.634
07:51:48 01/08/2023,27.99,88.711,100.0,1002.637
07:53:53 01/08/2023,27.965000000000003,88.66499999999999,100.0,1002.646
07:55:58 01/08/2023,27.968,88.695,100.0,1002.641
07:58:01 01/08/2023,27.949,88.777,100.0,1002.6319999999998
08:00:04 01/08/2023,27.931,88.736,100.0,1002.636
08:02:08 01/08/2023,27.92777777777778,88.81444444444445,100.0,1002.63
08:04:12 01/08/2023,28.826,86.4,100.0,1002.916
08:06:16 01/08/2023,28.854000000000003,86.65299999999999,100.0,1002.885
08:08:20 01/08/2023,28.874,86.734,100.0,1002.876
08:10:25 01/08/2023,28.896,86.485,100.0,1002.906
08:12:27 01/08/2023,28.910000000000004,86.559,100.0,1002.897
08:14:33 01/08/2023,28.922000000000004,86.53999999999999,100.0,1002.898
08:16:38 01/08/2023,28.914000000000005,86.588,100.0,1002.8929999999998
08:18:41 01/08/2023,28.918,86.652,100.0,1002.89
08:20:45 01/08/2023,28.93,86.55499999999999,100.0,1002.897
08:22:51 01/08/2023,28.905999999999995,86.613,100.0,1002.89
08:24:57 01/08/2023,28.904,86.57000000000001,100.0,1002.896
08:26:59 01/08/2023,28.90888888888889,86.64222222222222,100.0,1002.8855555555556
08:29:05 01/08/2023,29.78777777777778,87.3311111111111,100.0,1002.8055555555557
08:31:08 01/08/2023,29.790000000000003,87.249,100.0,1002.816
08:33:12 01/08/2023,29.809999999999995,87.209,100.0,1002.821
08:35:16 01/08/2023,29.829999999999995,87.21300000000001,100.0,1002.818
08:37:20 01/08/2023,29.83,87.216,100.0,1002.817
08:39:22 01/08/2023,29.790000000000003,87.046,100.0,1002.837
08:41:24 01/08/2023,29.773999999999997,87.136,100.0,1002.827
08:43:27 01/08/2023,29.736,87.14200000000001,100.0,1002.827
08:45:28 01/08/2023,29.712,87.143,100.0,1002.83
08:47:32 01/08/2023,29.713,87.172,100.0,1002.823
08:49:36 01/08/2023,29.716999999999995,87.24099999999999,100.0,1002.815
08:51:36 01/08/2023,29.656,87.24100000000001,100.0,1002.816
08:53:38 01/08/2023,29.652,86.154,100.0,1002.945
08:55:43 01/08/2023,29.635,86.139,100.0,1002.948
08:57:46 01/08/2023,29.641,86.027,100.0,1002.961
08:59:51 01/08/2023,29.627,86.04100000000001,100.0,1002.959
09:01:56 01/08/2023,29.634,85.941,100.0,1002.971
09:04:00 01/08/2023,29.663,85.94800000000001,100.0,1002.97
09:06:05 01/08/2023,29.704,85.96599999999998,100.0,1002.97
09:08:09 01/08/2023,29.744,86.01599999999999,100.0,1002.963
09:10:13 01/08/2023,29.770000000000003,85.902,100.0,1002.976
09:12:16 01/08/2023,29.769,85.936,100.0,1002.971
09:14:21 01/08/2023,29.785000000000004,85.78200000000001,100.0,1002.99
09:16:22 01/08/2023,,,,
09:18:29 01/08/2023,31.209,86.654,99.718,1002.886
09:20:32 01/08/2023,31.201,86.69800000000001,99.278,1002.879
09:22:34 01/08/2023,31.209,86.60999999999999,98.968,1002.89
09:24:39 01/08/2023,31.21,86.737,98.805,1002.875
09:26:43 01/08/2023,31.199,86.805,98.41799999999998,1002.867
09:28:47 01/08/2023,31.192,86.691,98.13,1002.882
09:30:52 01/08/2023,31.181000000000004,86.77799999999999,98.015,1002.868
09:32:54 01/08/2023,31.190000000000005,86.974,98.014,1002.846
09:35:01 01/08/2023,31.194,86.89999999999999,98.059,1002.855
09:37:02 01/08/2023,31.207,86.69,98.06,1002.881
09:39:07 01/08/2023,31.215,86.69800000000001,98.135,1002.879
09:41:12 01/08/2023,31.227000000000004,86.83800000000001,98.27900000000002,1002.864
09:43:15 01/08/2023,31.6175,86.85374999999999,91.8975,1002.86125
09:45:21 01/08/2023,31.746,86.867,89.47999999999999,1002.859
09:47:25 01/08/2023,31.757,86.91799999999998,89.522,1002.856
09:49:30 01/08/2023,31.762,87.08200000000001,89.61600000000001,1002.834
09:51:34 01/08/2023,31.766,86.891,89.23300000000002,1002.8580000000002
09:53:37 01/08/2023,31.784,86.82199999999997,89.21399999999998,1002.8660000000002
09:55:40 01/08/2023,31.8,86.916,89.31000000000002,1002.855
09:57:45 01/08/2023,31.815,86.852,89.34400000000001,1002.862
09:59:49 01/08/2023,31.821,86.87100000000001,89.327,1002.858
10:01:51 01/08/2023,31.813,87.09800000000001,88.99199999999999,1002.832
10:03:57 01/08/2023,31.805,86.92299999999999,88.599,1002.852
10:05:59 01/08/2023,31.811,86.884,88.574,1002.859
10:08:05 01/08/2023,31.803000000000004,86.98100000000001,88.55799999999999,1002.844
10:10:08 01/08/2023,29.32,87.838,76.34299999999999,1002.747
10:12:13 01/08/2023,32.802,88.16900000000001,72.95,1002.7050000000002
10:55:21 01/08/2023,33.702,88.965,79.17,1002.61
10:57:21 01/08/2023,33.701,88.828,79.00899999999999,1002.626
10:59:22 01/08/2023,33.70799999999999,88.721,79.08099999999999,1002.639
11:01:24 01/08/2023,33.70799999999999,88.758,79.13199999999999,1002.6339999999998
11:03:26 01/08/2023,33.718,88.94800000000001,79.213,1002.612
11:05:31 01/08/2023,33.724999999999994,88.949,79.293,1002.613
11:07:35 01/08/2023,33.72,88.78200000000001,79.26299999999999,1002.631
11:09:38 01/08/2023,33.720000000000006,88.809,79.39299999999999,1002.628
11:11:42 01/08/2023,33.71500000000001,88.863,79.338,1002.622
11:13:44 01/08/2023,33.720000000000006,88.914,78.996,1002.615
11:15:48 01/08/2023,33.714,88.792,78.823,1002.632
11:17:50 01/08/2023,33.712,88.85900000000001,78.58099999999999,1002.622
11:19:57 01/08/2023,33.70899999999999,88.86500000000001,78.329,1002.6230000000002
11:21:58 01/08/2023,33.95,89.12875,74.63499999999999,1002.5925
11:24:01 01/08/2023,34.039,89.32000000000001,73.29700000000001,1002.569
11:26:05 01/08/2023,34.04600000000001,89.283,73.08999999999999,1002.571
11:28:09 01/08/2023,34.063,89.268,73.22500000000001,1002.574
11:30:12 01/08/2023,34.083000000000006,89.248,73.482,1002.576
11:32:18 01/08/2023,34.101000000000006,89.308,73.70500000000001,1002.568
11:34:22 01/08/2023,34.113,89.309,74.018,1002.568
11:36:23 01/08/2023,34.116,89.27,73.80799999999999,1002.574
11:38:29 01/08/2023,34.135000000000005,89.307,73.799,1002.5689999999998
11:40:32 01/08/2023,34.142999999999994,89.34700000000001,73.999,1002.564
11:42:36 01/08/2023,34.154,89.22500000000001,74.011,1002.579
11:44:41 01/08/2023,34.169000000000004,89.38700000000001,74.16000000000001,1002.562
11:46:45 01/08/2023,34.178,89.426,73.937,1002.555
11:48:47 01/08/2023,34.23142857142857,89.62142857142858,76.20142857142856,1002.53
11:50:51 01/08/2023,34.235,89.70700000000001,77.227,1002.519
11:52:53 01/08/2023,34.203,89.876,77.08500000000001,1002.501
11:54:57 01/08/2023,34.172,90.054,77.06400000000001,1002.48
11:57:02 01/08/2023,34.151,90.131,77.226,1002.471
11:59:04 01/08/2023,34.13,90.244,77.386,1002.454
12:01:09 01/08/2023,34.126,90.286,77.518,1002.455
12:03:12 01/08/2023,34.121,90.151,77.853,1002.4679999999998
12:05:16 01/08/2023,34.132,90.107,78.112,1002.4730000000002
12:07:20 01/08/2023,34.139,90.288,78.38,1002.452
12:09:24 01/08/2023,34.141,90.085,78.41000000000001,1002.479
12:11:28 01/08/2023,34.139,90.21699999999998,78.304,1002.461
12:13:34 01/08/2023,34.14799999999999,90.387,78.22,1002.438
12:15:34 01/08/2023,34.278888888888886,89.94777777777777,76.76777777777778,1002.4911111111112
12:17:40 01/08/2023,34.29,89.855,76.33599999999998,1002.506
12:19:44 01/08/2023,34.246,89.70499999999998,76.25399999999999,1002.521
12:21:48 01/08/2023,34.2,89.69300000000001,76.255,1002.523
12:23:52 01/08/2023,34.14999999999999,89.71600000000001,75.965,1002.5220000000002
12:25:59 01/08/2023,34.111000000000004,89.69500000000001,75.907,1002.5259999999998
12:28:07 01/08/2023,34.093,89.669,76.01999999999998,1002.525
12:30:09 01/08/2023,34.088,89.63199999999999,76.093,1002.53
12:32:12 01/08/2023,34.076,89.82300000000001,76.096,1002.508
12:34:16 01/08/2023,34.078,89.904,76.036,1002.499
12:36:20 01/08/2023,34.081,89.88300000000001,75.922,1002.5
12:38:26 01/08/2023,34.08299999999999,89.94699999999999,75.886,1002.493
12:40:29 01/08/2023,34.095000000000006,89.756,75.984,1002.516
12:42:35 01/08/2023,33.94777777777777,90.35,75.38333333333333,1002.4433333333332
12:44:41 01/08/2023,33.917,90.404,75.32300000000001,1002.436
12:46:45 01/08/2023,33.922000000000004,90.524,75.76899999999999,1002.425
12:48:49 01/08/2023,33.904,90.42600000000002,75.887,1002.437
12:50:54 01/08/2023,33.886,90.398,76.19800000000001,1002.437
12:52:59 01/08/2023,33.884,90.258,76.51899999999999,1002.4550000000002
12:55:04 01/08/2023,33.892,90.225,76.92800000000001,1002.459
12:57:08 01/08/2023,33.876000000000005,90.446,77.147,1002.435
12:59:15 01/08/2023,33.832,90.465,76.635,1002.431
13:01:20 01/08/2023,33.816,90.347,76.672,1002.445
13:03:24 01/08/2023,33.819,90.356,76.994,1002.443
13:05:30 01/08/2023,33.81,90.432,77.314,1002.433
13:07:35 01/08/2023,33.804,90.361,77.551,1002.443
13:09:40 01/08/2023,33.555,90.1225,78.295,1002.47125
13:11:46 01/08/2023,33.465999999999994,89.91299999999998,78.62700000000001,1002.5
13:13:50 01/08/2023,33.449,90.096,78.882,1002.476
13:15:55 01/08/2023,33.43000000000001,89.974,78.79799999999999,1002.489
13:18:03 01/08/2023,33.423,90.07399999999998,78.84100000000001,1002.477
13:20:06 01/08/2023,33.415,90.211,78.888,1002.463
13:22:11 01/08/2023,33.418000000000006,90.166,78.924,1002.467
13:24:15 01/08/2023,33.41799999999999,90.176,79.09200000000001,1002.466
13:26:21 01/08/2023,33.42100000000001,90.205,79.18700000000001,1002.46
13:28:24 01/08/2023,33.423,90.245,78.90799999999999,1002.4600000000004
13:30:30 01/08/2023,33.42,90.237,78.78699999999999,1002.457
13:32:31 01/08/2023,33.423,90.123,78.66099999999999,1002.473
13:34:35 01/08/2023,33.42100000000001,90.235,78.53099999999999,1002.458
